NAICS,Industry,1985,1988,1991,1994,1998,2002,2006,2010,2014,fuel_type
334,Computer and Electronic Products,1.435,1.176,2,1.491,2,3.11,4,5,5,Coal
335,"Electrical Equip., Appliances, and Components",2.05,1.68,2,2.13,2,2.5,3.5,5,5,Coal
336,Transportation Equipment,2.33,2.05,2.06,1.87,1.79,2.26,3.09,5.06,5.44,Coal
337,Furniture and Related Products,2.46,2.18,1.983,2.27,2,2.6,1.87,2.64,3.8,Coal
339,Miscellaneous,2.26,1.82,2,2,2,2,3,3.63,5,Coal
311,Food,,,,,6.6,5.18,10.37,15.96,18.91,Coke
312,Beverage and Tobacco Products,,,,,,,,,0,Coke
313,Textile Mills,,,,,,,,,0,Coke
314,Textile Product Mills,,,,,,,,,0,Coke
315,Apparel,,,,,,,,,0,Coke
316,Leather and Allied Products,,,,,,,,,0,Coke
321,Wood Products,,,,,,,,,0,Coke
322,Paper,,,,,3,5,5,5.49,0,Coke
323,Printing and Related Support,,,,,,,,,0,Coke
324,Petroleum and Coal Products,,,,,,,,,5,Coke
325,Chemicals,,,,,4.51,5,8.77,8.08,6.4,Coke
326,Plastics and Rubber Products,,,,,,,,,0,Coke
327,Nonmetallic Mineral Products,,,,,2.48,1.96,3.05,8.7,2.73,Coke
331,Primary Metals,,,,,4.93,4.66,7.72,10.4,9.91,Coke
332,Fabricated Metal Products,,,,,7.35,4.5,7.5,8.06,0,Coke
333,Machinery,,,,,,,,,0,Coke
334,Computer and Electronic Products,,,,,,,,,0,Coke
335,"Electrical Equip., Appliances, and Components",,,,,,,,,20.16,Coke
336,Transportation Equipment,,,,,,,,,19.96,Coke
337,Furniture and Related Products,,,,,,,,,0,Coke
339,Miscellaneous,,,,,,,,,0,Coke
311,Food,,,,,2.488372093,4.375,3.081967213,5,6.604651163,Other 
312,Beverage and Tobacco Products,,,,,2,2.777777778,4,7,6.5,Other 
313,Textile Mills,,,,,2.333333333,3.388888889,4.916666667,5.428571429,1.666666667,Other 
314,Textile Product Mills,,,,,2.33,3.3,5,5,6.666666667,Other 
315,Apparel,,,,,2,3.3,5,5,5,Other 
316,Leather and Allied Products,,,,,2.5,3.3,5,5,5,Other 
321,Wood Products,,,,,2.129032258,1.349127182,2.574074074,2.087719298,5.019607843,Other 
322,Paper,,,,,2.129746835,2.697115385,5,3.107594937,3.316151203,Other 
323,Printing and Related Support,,,,,2.5,2.5,5,5,3.333333333,Other 
324,Petroleum and Coal Products,,,,,2.922077922,3.563218391,5.635179153,4.264423077,11.46613995,Other 
325,Chemicals,,,,,3.508442777,3.402040816,7.891812865,6.5775,5.740310078,Other 
326,Plastics and Rubber Products,,,,,4.2,4,8,5,7,Other 
327,Nonmetallic Mineral Products,,,,,1.357142857,1.288,1.534722222,2.256410256,1.936842105,Other 
331,Primary Metals,,,,,5.341772152,2.039325843,2.992481203,3.725490196,2.678832117,Other 
332,Fabricated Metal Products,,,,,12.92592593,15.33333333,10,5.333333333,8,Other 
333,Machinery,,,,,7.857142857,7.4,6.66,13.5,15,Other 
334,Computer and Electronic Products,,,,,5.5,5,6.5,14,18,Other 
335,"Electrical Equip., Appliances, and Components",,,,,0.415143603,2.5,6,7.56,6.8,Other 
336,Transportation Equipment,,,,,3.851851852,3.516129032,7.4,11.66666667,10,Other 
337,Furniture and Related Products,,,,,4.666666667,2,3.5,2,20,Other 
339,Miscellaneous,,,,,3.6,2,4,5,13,Other 
